City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sarangani,5.4033,125.4636,27.35,77,23,9.28,PH,1712791178
1,san antonio de pale,-1.4014,5.6325,28.29,81,82,4.54,GQ,1712791096
2,sitka,57.0531,-135.33,6.94,70,100,5.14,US,1712791046
3,ajdabiya,30.7554,20.2263,15.86,62,0,4.0,LY,1712791179
4,adamstown,-25.066,-130.1015,22.67,85,100,6.84,PN,1712791006
5,kapuskasing,49.4169,-82.4331,13.05,54,40,4.12,CA,1712791179
6,usogorsk,63.4106,48.6872,1.48,100,100,3.99,RU,1712791079
7,port alfred,-33.5906,26.891,15.1,87,100,0.89,ZA,1712791179
8,grytviken,-54.2811,-36.5092,0.94,90,14,5.44,GS,1712791004
9,hermanus,-34.4187,19.2345,14.89,70,22,8.96,ZA,1712791009
10,ilulissat,69.2167,-51.1,-5.99,58,100,2.06,GL,1712791178
11,santa maria da vitoria,-13.3947,-44.1886,26.47,61,81,0.56,BR,1712791179
12,isokyro,63.0117,22.3333,5.91,88,91,6.41,FI,1712791036
13,hawaiian paradise park,19.5933,-154.9731,26.6,73,100,4.12,US,1712791179
14,nagqu,31.5,92.0,-7.94,79,100,1.15,CN,1712791179
15,edinburgh of the seven seas,-37.0676,-12.3116,17.81,81,82,3.04,SH,1712791007
16,woolgoolga,-30.1106,153.2007,21.93,61,89,7.7,AU,1712791180
17,tiksi,71.6872,128.8694,-15.89,95,100,2.63,RU,1712791129
18,geraldton,-28.7667,114.6,23.23,35,43,6.69,AU,1712791138
19,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,70,20,16.09,RU,1712791008
20,port lincoln,-34.7333,135.8667,16.26,67,56,3.14,AU,1712791007
21,anzio,41.4853,12.6179,12.7,68,0,3.88,IT,1712791180
22,bethel,41.3712,-73.414,17.98,72,100,2.57,US,1712791005
23,zuwarah,32.9312,12.082,16.34,60,100,7.06,LY,1712791180
24,saldanha,-33.0117,17.9442,15.17,74,0,7.23,ZA,1712791180
25,anadyr,64.75,177.4833,-7.72,78,40,6.0,RU,1712790917
26,port-aux-francais,-49.35,70.2167,7.44,96,100,3.79,TF,1712791120
27,booue,-0.0921,11.9385,23.03,99,100,1.12,GA,1712791037
28,iskateley,67.6803,53.1512,-9.02,92,100,7.01,RU,1712791047
29,yellowknife,62.456,-114.3525,1.9,82,20,3.6,CA,1712791121
30,tadine,-21.55,167.8833,28.21,76,94,2.29,NC,1712791181
31,port macquarie,-31.4333,152.9167,21.61,66,50,5.43,AU,1712790651
32,stanley,54.868,-1.6985,12.1,87,75,5.66,GB,1712791181
33,haiku-pauwela,20.9219,-156.3051,29.01,61,20,8.23,US,1712791068
34,okhotsk,59.3833,143.3,-4.01,67,4,6.6,RU,1712791181
35,cannonvale,-20.2833,148.7,22.66,56,9,6.68,AU,1712791181
36,blackfoot,43.1905,-112.345,16.14,34,28,2.64,US,1712791181
37,cuyamel,15.6667,-88.2,33.34,65,83,3.42,HN,1712791181
38,olonkinbyen,70.9221,-8.7187,-6.54,72,100,5.46,SJ,1712791151
39,roma,43.2128,-75.4557,15.4,89,100,3.6,US,1712791181
40,utrik,11.2278,169.8474,26.73,77,100,9.1,MH,1712791182
41,punta arenas,-53.15,-70.9167,7.06,76,75,8.75,CL,1712791034
42,ampanihy,-24.7,44.75,23.18,88,67,5.21,MG,1712791182
43,tolanaro,-25.0319,46.9987,23.5,90,94,2.22,MG,1712791182
44,jinxiang,27.4327,120.6062,15.4,88,76,1.38,CN,1712791182
45,tosontsengel,48.7567,98.2839,1.95,49,84,6.4,MN,1712791155
46,elverum,60.8819,11.5623,-0.5,91,65,1.09,NO,1712791182
47,newman,37.3138,-121.0208,27.13,49,88,2.24,US,1712791065
48,waitangi,-43.9535,-176.5597,17.68,89,83,4.02,NZ,1712791005
49,nemuro,43.3236,145.575,4.06,66,60,3.54,JP,1712791035
50,klyuchi,52.2667,79.1667,2.95,97,100,0.72,RU,1712791182
51,pontianak,-0.0333,109.3333,23.99,100,75,2.06,ID,1712791183
52,abu al matamir,30.9102,30.1744,14.66,85,19,1.39,EG,1712791183
53,iqaluit,63.7506,-68.5145,-5.1,93,58,0.58,CA,1712790935
54,college,64.8569,-147.8028,7.18,42,20,2.57,US,1712791156
55,gornyye klyuchi,45.25,133.5,6.76,58,99,3.65,RU,1712791183
56,amravati,20.9333,77.75,25.54,57,85,4.37,IN,1712791183
57,ribeira grande,38.5167,-28.7,16.54,100,75,6.17,PT,1712791132
58,blackmans bay,-43.0167,147.3167,13.18,68,52,0.89,AU,1712791011
59,umba,66.6871,34.3429,2.01,100,100,4.75,RU,1712791183
60,new plymouth,-39.0667,174.0833,19.89,85,100,9.92,NZ,1712791036
61,forster,-32.1667,152.5167,16.72,75,82,6.14,AU,1712790914
